question	answer	final_QT	final_AS
هل يعتبر الخوف من عدم الإنجاب مستقبلاً حالة عادية خاصةً لما أكون متعلقة بأطفال كثيراً وأنا على وجه جواز أنا خايفة جداً	سد تى نعم ان هناك العديد من القلق النفسى المرتبط بحالات العقم و حب الانجاب لدرج ان لم يتحقق هدا تكون له مضار سلوكيه و نفسيه ودعينى اشير الى مثال اخر نتعامل معه نحن اخصائ النسائيه و العقم و حالات الاحباط التى تتم ايضا بمرحله النفاس و كيفيه رفض الام لطفلها و هناك العديد و عليه انصح و قبل الزواج ان نتعا مل معهز دابراهيم هنداوى مستشار النسائيه والعقم والغدد وطفال الانابيب-مدينه الحسين الطبيه-الاردن ibraheemhindawi2000@yahoo.com	['A', 'D']	['1', '2']
من سنه تقريبا و انا أذي نفسي ب اكثر من طريقة و ما اعرف كيف اتخلص من ذي العادة، و بدت تجيني افكار بإنهاء حياتي و حاولت انتحر باكثر من مرة و أكثر من طريقة	يجب العرض علي طبيب اختصاصي امراض نفسية سوف يقوم بالتشخيص والعلاج اللازم بالجلسات والادوية..	['B', 'E']	['2']
السلام عليكم مشكلتي تقتصر على تكرار كلمة معينة لمدة طويلة من الزمن مثلا اذا سمعت شخص قام بتكرار كلمة معينة ابقى اكررها مع نفسي احاول توقيف نفسي ولكن دون جدوى حتى اصاب بلاحباط اصبت بهذا الشي من قبل والحمد لله تخلصت منه ولكنه رجع مع العلم ان الوسواس شائع في عائلتنا قالت امي استغفري بدل تكرار وشكرا	الوسواس القهري هو من الامراض الشاءعة ويكون في صورة افكار وسواسية متكررة او افعال متكررة ويلعب عامل الوراثة دور مهم ويحتاج الي علاج دواءي بالاضافة الي جلسات علاج نفسي	['A', 'E']	['1', '2']
اكتئاب وفوبيا من المجتمع وانعزال وانطوائية وتعامل بسلبية	العلاج النفسي المعرفي السلوكي يعطي نتائج جيدة و كذلك العلاج الدوائي ان لزم الامر الكثير من الحالات تستجيب للعلاج النفسي وحده	['B', 'D']	['1']
عمري 37 سنة وحامل في الشهر الثامن . منذ الشهر الخامس إلى الآن وأنا أعاني من قلق شديد مزمن وخوف كبير وعودة لمرضي وهو الوسواس القهري . ذهبت للطبيب وأعطاني أدوية ولكن لم أستفد حتى الاآن وسأذهب لغيره. سؤالي هو ..هل ستؤثر هرمونات القلق على الصحة النفسية والعقلية للجنين؟ حيث قرأت أشياء مخيفة عن ذلك	ثابري مع طبيبك واخبريه بمخاوفك والتزمي بالجوانب الروحانية وحاولي تنميتها ستساعدك مع التفكر الارتقائي والاسترخاء	['A', 'B', 'D']	['2', '3']
هل الإحساس بقرب الاجل و الخوف من الموت و الاحلام من اعراض الاكتئاب و القلق؟! و كيف يمكنني تخطي هذه المرحلة لان حياتي اصبحت جحيم	نعم بالاضافه للكثير من الاعراض الاخرى الطبيب النفسي بعد التقييم الدقيق الشامل لكل الاعراض سيوصف لك مضادات الاكتئاب و مزيلات للقلق مع علاج معرفي سلوكي	['A', 'B', 'D']	['1', '2']
ماهو افضل دواء منوم وذاا تأثير سريع وقوي لاني اعاني من ارق ولا استطيع النوم ابدااا الرجاء الاجابه؟؟	لا يجوز اخذ هذه الادوية دون استشارة الطبيب لان لها اثار جانبية كثيرة فيجب مراجعة الطبيب	['B']	['1', '2']
اهلا يا طبيب ، انا اعاني من عدة أعراض لمدة اسبوعين تقريبا . اعاني من حزن و ضيق في تنفس و بأفكار موت وايذاء نفسي وعدم رغبة بحياة . و اشعر بإرهاق بعض احيانا	راجعي طبيب امراض نفسية وسيساعدك في تجاوز الازمة	['A', 'F']	['2']
انا مصاب باضطراب الشخصية الحديه ومريت بالعلاج الجدلي السلوكي ومتابع بالادويه لكنه مرض عقلي مزمن موروث لا يمكن علاجه، لذا سؤالي هل يتم البحث في مجال الصحه العقلية والاهتمام به أم لا ؟ وارجو ان اعرف مصدر لاتابع فيه اخر الابحاث لان بحثت في كل مكان تقريباً ولا اجد ما يبشرني ابداً .. وشكراً	الموضوع قيد البحث العلمى سواء فى دقة التشخيص او طريقة العلاج	['A', 'B', 'D', 'Z']	['1']
عاني من مشكلة الخوف من اذية الغرباء وعدم اخذ حقي منهم لذلك عندما اسير في الاماكن العامة يكون سيري بطريقة حذره وملفته للانتباه ربما ويقطه ولا استطيع التركيز واعاني صعوبة تذكر الكلمات الذي اردت قولها وايضاً اتذكر احداث الماضي واعاتب نفسي عليها مثل تأنيب الضمير واخاف من وقوع مكروه لي لدرجة كتمان ذلك ال	حضرتك تعاني من قلق شديد يحتاج الاهتمام و الفحص النفسي لاختيار العلاج المناسب	['A']	['1', '2']
